longitude,latitude,crop_age_months,variety,ratoon_cycle,observation_date,farmer_id,plot_area_ha,yield_tch,landcover
34.75123,0.28456,14,KEN-82-372,2,2024-04-15,FARMER_001,2.5,92.3,1
34.76234,0.29567,8,CO-421,0,2024-04-15,FARMER_002,1.8,0,1
34.77345,0.30678,18,KEN-82-62,3,2024-04-15,FARMER_003,3.2,78.5,1
34.78456,0.31789,5,CO-421,0,2024-04-16,FARMER_004,1.2,0,1
34.79567,0.32890,16,KEN-82-372,1,2024-04-16,FARMER_005,2.9,88.7,1
34.80678,0.33991,11,CO-421,4,2024-04-16,FARMER_006,2.1,65.2,1
34.81789,0.35092,22,KEN-82-62,5,2024-04-17,FARMER_007,1.5,55.8,1
34.82890,0.36193,9,KEN-82-372,0,2024-04-17,FARMER_008,3.5,0,1
34.83991,0.37294,15,CO-421,2,2024-04-17,FARMER_009,2.7,85.4,1
34.85092,0.38395,13,KEN-82-62,1,2024-04-18,FARMER_010,1.9,91.2,1
